house_id,beds,baths,living_area,house_type,year_built,heating,cooling,parking,price,price_per_sqft
26802135,3,2,998,Single Family,1954,"Forced air, Gas",Central,2 spaces,"$145,000",$145
26800911,2,1,761,Single Family,1950,"Forced air, Gas",Other,2 spaces,"$137,000",$180
99356271,2,1,"1,213",Condo,2008,"Forced air, Gas",Central,1 space,"$199,900",$165
43693023,6,5,"5,298",Single Family,1999,"Forced air, Heat pump, Electric",Central,4 spaces,"$1,399,999",$264
60347400,3,2,"1,216",Single Family,2002,Forced air,Central,2 spaces,"$169,900",$140
2077681491,4,4,"2,111",Single Family,2020,Forced air,Central,2 spaces,"$1,599,000",$757
82295911,--,1,562,Condo,2007,Forced air,Central,1 space,"$369,000",$657
89977213,4,5,"3,000",Single Family,2010,Gas,Central,2 spaces,"$1,400,000",$467
20795082,4,5,"3,806",Single Family,2019,Forced air,Central,2 spaces,"$3,550,000",$933
20690529,3,3,"1,038",Single Family,1926,Wall,Wall,1 space,"$739,900",$713
43692923,6,5,"3,270",Single Family,2001,"Forced air, Gas",Central,3 spaces,"$950,000",$291
29334576,4,4,"4,691",Single Family,2001,Forced air,Central,2 spaces,"$1,295,000",$276
17044038,3,3,"3,169",Single Family,1997,"Forced air, Gas",Central,10 spaces,"$889,900",$281
246025806,3,4,"2,423",Single Family,2020,"Forced air, Heat pump",Central,2 spaces,"$315,000",$130
53153596,4,2,"1,440",Condo,2000,Forced air,Central,No Data,"$2,199,000","$1,527"
104458538,2,2,"1,678",Condo,2007,Forced air,Central,1 space,"$525,000",$313
19599072,2,1,990,Single Family,1947,Other,No Data,1 space,"$899,000",$908
20801358,3,3,"2,400",Single Family,1962,Forced air,Central,2 spaces,"$2,735,000","$1,140"
82950285,1,1,624,Condo,2007,"Forced air, Electric",Wall,1 space,"$499,000",$800
40472907,3,1,960,Single Family,1951,"Forced air, Gas",No Data,1 space,"$134,900",$141
