house_id,home_type,roof_material,new_construction,major_remodel_year
55406095,Condo,,No,2001
36730417,Single Family,Shake / Shingle,No,
36743599,Single Family,Shake / Shingle,No,
110707602,Single Family,Composition,No,1969
63692490,Condo,,No,
62847238,Single Family,Shake / Shingle,No,
29331303,Single Family,Composition,No,
19600870,Townhouse,,No,1982
29334535,Single Family,Tile,No,2001
60270629,Condo,,No,
20794916,Single Family,Composition,No,2003
2121238192,Single Family,Tile,No,
54906867,Single Family,Composition,No,1932
26799818,Single Family,Composition,No,1961
2077913807,Single Family,Composition,No,
299125344,Single Family,Composition,Yes,
448700,Condo,,No,1982
26944325,Single Family,Composition,No,1948
61325138,Condo,,No,2006
26995971,Single Family,Composition,No,1959
19556721,Single Family,Composition,No,1954
3580631,Single Family,Shake / Shingle,No,
110751900,Single Family,Asphalt,No,1965
40473124,Single Family,,No,
53735967,Single Family,Composition,No,2001
20688535,Single Family,Tile,No,2006
2077987889,Condo,,No,
110701338,Single Family,,No,1966
17044483,Single Family,Other,No,1987
27330607,Single Family,Composition,No,1983
20794256,Single Family,,No,1920
125231582,Condo,Built-up,No,2012
19579887,Single Family,Composition,No,1920
20801682,Single Family,Tile,No,1950
7515527,Single Family,Other,Yes,
60270617,Condo,Other,No,
63703823,Condo,Other,No,
20788332,Condo,,No,1981
61122203,Condo,Composition,No,2006
82291316,Condo,Other,No,
94702669,Townhouse,Tile,No,2010
62007666,Condo,Other,No,
7510715,Single Family,Other,No,
2093019920,Condo,Other,No,
110755026,Single Family,,No,1960
26802165,Single Family,Composition,No,1954
36744633,Single Family,Shake / Shingle,No,
43710140,Single Family,Composition,No,1979
72652295,Condo,,No,1988
49911608,Condo,,No,
96031440,Condo,,No,
