house_id,full_bathrooms,half_bathrooms,basement,flooring,appliances,total_interior_livable_area,fireplace
29333062,6,,,"Carpet, Hardwood","Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator","6,840 sqft",
26794863,1,,,"Carpet, Tile",,"1,407 sqft",
19556691,2,,,"Carpet, Linoleum / Vinyl",,985 sqft,
27327034,2,,,"Tile, Carpet",Microwave,"1,567 sqft",Yes
26795771,1,,,"Carpet, Laminate, Linoleum / Vinyl",Dishwasher,"1,440 sqft",
36721864,1,,,,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer","1,232 sqft",Yes
43695007,3,,,"Tile, Carpet, Hardwood","Dishwasher, Garbage disposal, Range / Oven, Refrigerator","2,248 sqft","Wood Burning Fireplace, 1 Fireplace, Tile Fireplace, Fireplace-Family Room/Den/Gr"
71488699,,,,Tile,,"1,989 sqft",Yes
15072610,,,,"Tile, Hardwood","Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Refrigerator, Trash compactor, Washer",635 sqft,Yes
29333077,,,None,Hardwood,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator","5,225 sqft",Yes
29323270,3,,None,Linoleum / Vinyl,"Dryer, Washer","3,185 sqft",Yes
29333063,11,,,"Carpet, Hardwood",Refrigerator,"16,722 sqft","Wood Burning Fireplace, Gas Connections"
95060776,1,,"Finished, Partially Finished, Partial, Walk-Out Access, Block, Sump Pump, Full Size Windows, Exposed Basement",Hardwood,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","1,782 sqft","Wood Burning, 2 or more Fireplaces"
3591114,1,,Finished,"Tile, Carpet, Hardwood, Linoleum / Vinyl","Dryer, Range / Oven, Refrigerator, Washer",980 sqft,
15131932,,,,Hardwood,"Dishwasher, Dryer, Freezer, Garbage disposal, Range / Oven, Refrigerator, Washer","2,049 sqft",Yes
63509948,1,,,Carpet,,767 sqft,
26949149,3,,,"Tile, Linoleum / Vinyl","Dishwasher, Microwave","2,016 sqft",Decorative
29475480,2,,,"Carpet, Hardwood, Tile","Dishwasher, Microwave, Refrigerator","2,165 sqft",
68978645,4,,,Tile,"Dishwasher, Range / Oven","3,033 sqft",Living Room
2136248651,1,,,"Carpet, Hardwood, Laminate","Range / Oven, Refrigerator",900 sqft,
121067648,1,,,"Hardwood, Laminate","Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","1,035 sqft",
